iter	Passed	Remaining
0	2	238
1	4	231
2	6	225
3	8	210
4	10	208
5	12	202
6	15	206
7	17	203
8	20	202
9	22	203
10	25	202
11	27	203
12	30	201
13	32	200
14	35	200
15	37	199
16	40	197
17	42	195
18	45	193
19	47	190
20	50	189
21	52	187
22	55	185
23	58	184
24	61	183
25	63	181
26	66	179
27	68	177
28	71	175
29	74	174
30	77	172
31	79	168
32	83	168
33	85	165
34	87	162
35	90	160
36	92	156
37	94	154
38	97	152
39	100	150
40	102	147
41	103	143
42	106	140
43	108	138
44	112	137
45	115	135
46	117	132
47	120	130
48	123	128
49	127	127
50	130	125
51	132	122
52	135	119
53	137	117
54	138	113
55	141	111
56	143	108
57	146	105
58	148	103
59	150	100
60	152	97
61	155	95
62	157	92
63	160	90
64	162	87
65	165	85
66	167	82
67	170	80
68	172	77
69	175	75
70	177	72
71	180	70
72	182	67
73	185	65
74	187	62
75	189	59
76	192	57
77	194	54
78	196	52
79	198	49
80	200	47
81	203	44
82	205	42
83	207	39
84	209	37
85	212	34
86	214	31
87	216	29
88	218	27
89	220	24
90	223	22
91	225	19
92	227	17
93	229	14
94	231	12
95	234	9
96	236	7
97	238	4
98	240	2
99	242	0
