iter	Passed	Remaining
0	139	139203
1	141	70732
2	144	47898
3	146	36444
4	148	29598
5	151	25093
6	153	21807
7	156	19386
8	159	17512
9	161	15959
10	163	14732
11	166	13686
12	168	12776
13	170	12038
14	173	11376
15	175	10784
16	178	10299
17	180	9843
18	182	9433
19	185	9075
20	187	8739
21	189	8418
22	191	8153
23	194	7898
24	196	7651
25	198	7430
26	201	7245
27	203	7054
28	205	6888
29	208	6740
30	210	6592
31	213	6455
32	215	6329
33	218	6202
34	221	6118
35	223	5993
36	225	5876
37	229	5807
38	231	5702
39	233	5599
40	235	5519
41	238	5431
42	240	5360
43	243	5288
44	245	5207
45	247	5129
46	250	5070
47	252	5002
48	254	4947
49	257	4890
50	259	4826
51	261	4765
52	264	4727
53	268	4710
54	272	4675
55	274	4620
56	276	4567
57	278	4524
58	280	4477
59	282	4433
60	285	4395
61	287	4350
62	289	4306
63	291	4264
64	294	4240
65	297	4207
66	300	4178
67	302	4146
68	304	4108
69	306	4074
70	309	4044
71	311	4013
72	314	3987
73	316	3959
74	318	3927
75	320	3896
76	322	3866
77	324	3839
78	328	3827
79	330	3804
80	332	3775
81	334	3748
82	336	3713
83	338	3693
84	340	3667
85	342	3642
86	345	3621
87	347	3597
88	349	3573
89	351	3550
90	353	3535
91	357	3530
92	360	3517
93	362	3494
94	364	3472
95	367	3464
96	370	3444
97	372	3425
98	374	3407
99	376	3391
100	379	3375
101	382	3364
102	384	3351
103	388	3343
104	391	3335
105	393	3318
106	396	3310
107	399	3297
108	401	3282
109	404	3269
110	406	3255
111	408	3240
112	411	3230
113	414	3218
114	416	3205
115	419	3195
116	421	3178
117	423	3165
118	426	3154
119	428	3141
120	430	3127
121	432	3113
122	435	3104
123	437	3092
124	440	3080
125	442	3070
126	444	3058
127	447	3046
128	450	3038
129	452	3027
130	454	3013
131	456	3004
132	459	2994
133	461	2982
134	464	2977
135	467	2967
136	469	2957
137	471	2947
138	475	2945
139	478	2939
140	480	2928
141	482	2917
142	485	2911
143	488	2902
144	491	2898
145	494	2890
146	496	2880
147	498	2871
148	501	2862
149	504	2856
150	507	2854
151	510	2845
152	512	2837
153	515	2832
154	517	2823
155	521	2819
156	523	2810
157	525	2801
158	529	2798
159	532	2794
160	534	2784
161	537	2780
162	540	2774
163	542	2766
164	546	2763
165	548	2755
166	550	2747
167	553	2739
168	555	2731
169	558	2724
170	561	2719
171	563	2712
172	565	2704
173	568	2697
174	570	2690
175	574	2688
176	577	2683
177	580	2680
178	582	2673
179	584	2664
180	587	2657
181	589	2650
182	592	2643
183	594	2636
184	597	2632
185	599	2624
186	603	2622
187	605	2614
188	607	2607
189	610	2603
190	613	2597
191	616	2596
192	619	2588
193	623	2590
194	626	2586
195	628	2579
196	631	2574
197	634	2569
198	637	2567
199	640	2561
200	642	2555
201	645	2548
202	647	2542
203	650	2537
204	652	2530
205	655	2525
206	657	2519
207	659	2512
208	662	2507
209	664	2500
210	666	2493
211	669	2487
212	671	2481
213	673	2475
214	676	2469
215	678	2462
216	680	2456
217	683	2450
218	686	2446
219	688	2440
